uniq_isos	iso_ensts	iso_ensgs	iso_ensgvs	iso_gnames	iso_descs	filtered	regulator
BAGE3	BAGE3	ENSG00000284573	BAGE3	BAGE3	gene	0	0
BAGE4	BAGE4	unmapped-none	BAGE4	BAGE4	gene	0	0
BAGE5	BAGE5	unmapped-none	BAGE5	BAGE5	gene	0	0
BAHCC1	BAHCC1	ENSG00000266074	BAHCC1	BAHCC1	gene	0	0
BAHD1	BAHD1	ENSG00000140320	BAHD1	BAHD1	gene	0	0
BAI1	BAI1	ENSG00000181790	BAI1	BAI1	gene	0	0
BAI2	BAI2	unmapped-none	BAI2	BAI2	gene	0	0
BAI3	BAI3	unmapped-none	BAI3	BAI3	gene	0	0
BAIAP2	BAIAP2	ENSG00000175866	BAIAP2	BAIAP2	gene	0	0
BAIAP2L1	BAIAP2L1	ENSG00000006453	BAIAP2L1	BAIAP2L1	gene	0	0
BAIAP2L2	BAIAP2L2	ENSG00000128298	BAIAP2L2	BAIAP2L2	gene	0	0
BAIAP3	BAIAP3	ENSG00000007516	BAIAP3	BAIAP3	gene	0	0
BAK1	BAK1	ENSG00000030110	BAK1	BAK1	gene	0	0
BAMBI	BAMBI	ENSG00000095739	BAMBI	BAMBI	gene	0	0
BANF1	BANF1	ENSG00000175334	BANF1	BANF1	gene	0	0
BANF2	BANF2	ENSG00000125888	BANF2	BANF2	gene	0	0
BANK1	BANK1	ENSG00000153064	BANK1	BANK1	gene	0	0
BANP	BANP	ENSG00000172530	BANP	BANP	gene	0	0
BAP1	BAP1	ENSG00000163930	BAP1	BAP1	gene	0	0
BARD1	BARD1	ENSG00000138376	BARD1	BARD1	gene	0	0
BARHL1	BARHL1	ENSG00000125492	BARHL1	BARHL1	gene	0	1
BARHL2	BARHL2	ENSG00000143032	BARHL2	BARHL2	gene	0	1
BARX1	BARX1	ENSG00000131668	BARX1	BARX1	gene	0	1
BARX2	BARX2	ENSG00000043039	BARX2	BARX2	gene	0	1
BASP1	BASP1	ENSG00000176788	BASP1	BASP1	gene	0	0
BATF	BATF	ENSG00000156127	BATF	BATF	gene	0	1
BATF2	BATF2	ENSG00000168062	BATF2	BATF2	gene	0	1
BATF3	BATF3	ENSG00000123685	BATF3	BATF3	gene	0	1
BAX	BAX	ENSG00000087088	BAX	BAX	gene	0	0
BAZ1A	BAZ1A	ENSG00000198604	BAZ1A	BAZ1A	gene	0	0
BAZ1B	BAZ1B	ENSG00000009954	BAZ1B	BAZ1B	gene	0	0
BAZ2A	BAZ2A	ENSG00000076108	BAZ2A	BAZ2A	gene	0	0
BAZ2B	BAZ2B	unmapped-many	BAZ2B	BAZ2B	gene	0	0
BBC3	BBC3	ENSG00000105327	BBC3	BBC3	gene	0	0
BBIP1	BBIP1	ENSG00000214413	BBIP1	BBIP1	gene	0	0
BBOX1	BBOX1	ENSG00000129151	BBOX1	BBOX1	gene	0	0
BBS1	BBS1	ENSG00000174483	BBS1	BBS1	gene	0	0
BBS10	BBS10	ENSG00000179941	BBS10	BBS10	gene	0	0
BBS12	BBS12	ENSG00000181004	BBS12	BBS12	gene	0	0
BBS2	BBS2	ENSG00000125124	BBS2	BBS2	gene	0	0
BBS4	BBS4	ENSG00000140463	BBS4	BBS4	gene	0	0
BBS5	BBS5	ENSG00000163093	BBS5	BBS5	gene	0	0
BBS7	BBS7	ENSG00000138686	BBS7	BBS7	gene	0	0
BBS9	BBS9	ENSG00000122507	BBS9	BBS9	gene	0	0
BBX	BBX	ENSG00000114439	BBX	BBX	gene	0	1
BCAM	BCAM	ENSG00000187244	BCAM	BCAM	gene	0	0
BCAN	BCAN	ENSG00000132692	BCAN	BCAN	gene	0	0
BCAP29	BCAP29	ENSG00000283852	BCAP29	BCAP29	gene	0	0
BCAP31	BCAP31	ENSG00000185825	BCAP31	BCAP31	gene	0	0
BCAR1	BCAR1	ENSG00000050820	BCAR1	BCAR1	gene	0	0
BCAR3	BCAR3	ENSG00000137936	BCAR3	BCAR3	gene	0	0
BCAR4	BCAR4	ENSG00000262117	BCAR4	BCAR4	gene	0	0
BCAS1	BCAS1	ENSG00000064787	BCAS1	BCAS1	gene	0	0
BCAS2	BCAS2	ENSG00000116752	BCAS2	BCAS2	gene	0	0
BCAS3	BCAS3	ENSG00000141376	BCAS3	BCAS3	gene	0	0
BCAS4	BCAS4	ENSG00000124243	BCAS4	BCAS4	gene	0	0
BCAT1	BCAT1	ENSG00000060982	BCAT1	BCAT1	gene	0	0
BCAT2	BCAT2	ENSG00000105552	BCAT2	BCAT2	gene	0	0
BCCIP	BCCIP	ENSG00000107949	BCCIP	BCCIP	gene	0	0
BCDIN3D	BCDIN3D	ENSG00000186666	BCDIN3D	BCDIN3D	gene	0	0
BCHE	BCHE	ENSG00000114200	BCHE	BCHE	gene	0	0
BCKDHA	BCKDHA	ENSG00000248098	BCKDHA	BCKDHA	gene	0	0
BCKDHB	BCKDHB	ENSG00000083123	BCKDHB	BCKDHB	gene	0	0
BCKDK	BCKDK	ENSG00000103507	BCKDK	BCKDK	gene	0	0
BCL10	BCL10	ENSG00000142867	BCL10	BCL10	gene	0	0
BCL11A	BCL11A	ENSG00000119866	BCL11A	BCL11A	gene	0	1
BCL11B	BCL11B	ENSG00000127152	BCL11B	BCL11B	gene	0	1
BCL2	BCL2	ENSG00000171791	BCL2	BCL2	gene	0	0
BCL2A1	BCL2A1	ENSG00000140379	BCL2A1	BCL2A1	gene	0	0
BCL2L1	BCL2L1	ENSG00000171552	BCL2L1	BCL2L1	gene	0	0
BCL2L10	BCL2L10	ENSG00000137875	BCL2L10	BCL2L10	gene	0	0
BCL2L11	BCL2L11	ENSG00000153094	BCL2L11	BCL2L11	gene	0	0
BCL2L12	BCL2L12	ENSG00000126453	BCL2L12	BCL2L12	gene	0	0
BCL2L13	BCL2L13	ENSG00000099968	BCL2L13	BCL2L13	gene	0	0
BCL2L14	BCL2L14	ENSG00000281449	BCL2L14	BCL2L14	gene	0	0
BCL2L15	BCL2L15	ENSG00000188761	BCL2L15	BCL2L15	gene	0	0
BCL2L2	BCL2L2	unmapped-many	BCL2L2	BCL2L2	gene	0	0
BCL2L2-PABPN1	BCL2L2-PABPN1	ENSG00000258643	BCL2L2-PABPN1	BCL2L2-PABPN1	gene	0	0
BCL3	BCL3	ENSG00000069399	BCL3	BCL3	gene	0	1
BCL6	BCL6	ENSG00000113916	BCL6	BCL6	gene	0	1
BCL6B	BCL6B	ENSG00000161940	BCL6B	BCL6B	gene	0	1
BCL7A	BCL7A	ENSG00000282873	BCL7A	BCL7A	gene	0	0
BCL7B	BCL7B	ENSG00000106635	BCL7B	BCL7B	gene	0	0
BCL7C	BCL7C	ENSG00000099385	BCL7C	BCL7C	gene	0	0
BCL9	BCL9	ENSG00000116128	BCL9	BCL9	gene	0	0
BCL9L	BCL9L	ENSG00000186174	BCL9L	BCL9L	gene	0	0
BCLAF1	BCLAF1	ENSG00000029363	BCLAF1	BCLAF1	gene	0	0
BCMO1	BCMO1	unmapped-none	BCMO1	BCMO1	gene	0	0
BCO2	BCO2	ENSG00000197580	BCO2	BCO2	gene	0	0
BCOR	BCOR	ENSG00000183337	BCOR	BCOR	gene	0	0
BCORL1	BCORL1	ENSG00000085185	BCORL1	BCORL1	gene	0	0
BCR	BCR	ENSG00000186716	BCR	BCR	gene	0	0
BCS1L	BCS1L	ENSG00000074582	BCS1L	BCS1L	gene	0	0
BCYRN1	BCYRN1	ENSG00000236824	BCYRN1	BCYRN1	gene	0	0
BDAG1	BDAG1	unmapped-none	BDAG1	BDAG1	gene	0	0
BDH1	BDH1	ENSG00000275544	BDH1	BDH1	gene	0	0
BDH2	BDH2	ENSG00000164039	BDH2	BDH2	gene	0	0
BDKRB1	BDKRB1	ENSG00000100739	BDKRB1	BDKRB1	gene	0	0
BDKRB2	BDKRB2	ENSG00000168398	BDKRB2	BDKRB2	gene	0	0
BDNF	BDNF	ENSG00000176697	BDNF	BDNF	gene	0	0
BDNF-AS1	BDNF-AS1	unmapped-none	BDNF-AS1	BDNF-AS1	gene	0	0
BDP1	BDP1	ENSG00000274803	BDP1	BDP1	gene	0	0
BEAN1	BEAN1	ENSG00000166546	BEAN1	BEAN1	gene	0	0
BECN1	BECN1	ENSG00000126581	BECN1	BECN1	gene	0	0
BEGAIN	BEGAIN	ENSG00000183092	BEGAIN	BEGAIN	gene	0	0
BEND2	BEND2	ENSG00000177324	BEND2	BEND2	gene	0	0
BEND3	BEND3	ENSG00000178409	BEND3	BEND3	gene	0	0
BEND4	BEND4	ENSG00000188848	BEND4	BEND4	gene	0	0
BEND5	BEND5	ENSG00000162373	BEND5	BEND5	gene	0	0
BEND6	BEND6	ENSG00000151917	BEND6	BEND6	gene	0	0
BEND7	BEND7	ENSG00000165626	BEND7	BEND7	gene	0	0
BEST1	BEST1	ENSG00000167995	BEST1	BEST1	gene	0	0
BEST2	BEST2	ENSG00000039987	BEST2	BEST2	gene	0	0
BEST3	BEST3	ENSG00000127325	BEST3	BEST3	gene	0	0
BEST4	BEST4	ENSG00000142959	BEST4	BEST4	gene	0	0
BET1	BET1	ENSG00000105829	BET1	BET1	gene	0	0
BET1L	BET1L	ENSG00000177951	BET1L	BET1L	gene	0	0
BET3L	BET3L	unmapped-none	BET3L	BET3L	gene	0	0
BEX1	BEX1	ENSG00000133169	BEX1	BEX1	gene	0	0
BEX2	BEX2	ENSG00000133134	BEX2	BEX2	gene	0	0
BEX4	BEX4	ENSG00000102409	BEX4	BEX4	gene	0	0
BEX5	BEX5	ENSG00000184515	BEX5	BEX5	gene	0	0
BFAR	BFAR	ENSG00000275618	BFAR	BFAR	gene	0	0
BFSP1	BFSP1	ENSG00000125864	BFSP1	BFSP1	gene	0	0
BFSP2	BFSP2	ENSG00000170819	BFSP2	BFSP2	gene	0	0
BGLAP	BGLAP	ENSG00000242252	BGLAP	BGLAP	gene	0	0
BGN	BGN	ENSG00000182492	BGN	BGN	gene	0	0
BHLHA15	BHLHA15	ENSG00000180535	BHLHA15	BHLHA15	gene	0	1
BHLHA9	BHLHA9	ENSG00000205899	BHLHA9	BHLHA9	gene	0	1
BHLHB9	BHLHB9	ENSG00000198908	BHLHB9	BHLHB9	gene	0	0
BHLHE22	BHLHE22	ENSG00000180828	BHLHE22	BHLHE22	gene	0	1
BHLHE23	BHLHE23	ENSG00000125533	BHLHE23	BHLHE23	gene	0	1
BHLHE40	BHLHE40	ENSG00000134107	BHLHE40	BHLHE40	gene	0	1
BHLHE41	BHLHE41	ENSG00000123095	BHLHE41	BHLHE41	gene	0	1
BHMT	BHMT	ENSG00000145692	BHMT	BHMT	gene	0	0
BHMT2	BHMT2	ENSG00000132840	BHMT2	BHMT2	gene	0	0
BICC1	BICC1	ENSG00000122870	BICC1	BICC1	gene	0	0
BICD1	BICD1	ENSG00000151746	BICD1	BICD1	gene	0	0
BICD2	BICD2	ENSG00000185963	BICD2	BICD2	gene	0	0
BID	BID	ENSG00000015475	BID	BID	gene	0	0
BIK	BIK	ENSG00000100290	BIK	BIK	gene	0	0
BIN1	BIN1	ENSG00000136717	BIN1	BIN1	gene	0	0
BIN2	BIN2	ENSG00000110934	BIN2	BIN2	gene	0	0
BIN3	BIN3	ENSG00000147439	BIN3	BIN3	gene	0	0
BIRC2	BIRC2	ENSG00000110330	BIRC2	BIRC2	gene	0	0
BIRC3	BIRC3	ENSG00000023445	BIRC3	BIRC3	gene	0	0
BIRC5	BIRC5	ENSG00000089685	BIRC5	BIRC5	gene	0	0
BIRC6	BIRC6	ENSG00000115760	BIRC6	BIRC6	gene	0	0
BIRC7	BIRC7	ENSG00000101197	BIRC7	BIRC7	gene	0	0
BIRC8	BIRC8	ENSG00000163098	BIRC8	BIRC8	gene	0	0
BIVM	BIVM	ENSG00000134897	BIVM	BIVM	gene	0	0
BIVM-ERCC5	BIVM-ERCC5	ENSG00000270181	BIVM-ERCC5	BIVM-ERCC5	gene	0	0
BK250D10	BK250D10	unmapped-none	BK250D10	BK250D10	gene	0	0
BLCAP	BLCAP	ENSG00000166619	BLCAP	BLCAP	gene	0	0
BLID	BLID	ENSG00000259571	BLID	BLID	gene	0	0
BLK	BLK	ENSG00000136573	BLK	BLK	gene	0	0
BLM	BLM	ENSG00000197299	BLM	BLM	gene	0	0
BLMH	BLMH	ENSG00000108578	BLMH	BLMH	gene	0	0
BLNK	BLNK	ENSG00000095585	BLNK	BLNK	gene	0	0
BLOC1S1	BLOC1S1	ENSG00000135441	BLOC1S1	BLOC1S1	gene	0	0
BLOC1S1-RDH5	BLOC1S1-RDH5	unmapped-none	BLOC1S1-RDH5	BLOC1S1-RDH5	gene	0	0
BLOC1S2	BLOC1S2	ENSG00000196072	BLOC1S2	BLOC1S2	gene	0	0
BLOC1S3	BLOC1S3	ENSG00000189114	BLOC1S3	BLOC1S3	gene	0	0
BLVRA	BLVRA	ENSG00000106605	BLVRA	BLVRA	gene	0	0
BLVRB	BLVRB	ENSG00000090013	BLVRB	BLVRB	gene	0	0
BLZF1	BLZF1	ENSG00000117475	BLZF1	BLZF1	gene	0	0
BMF	BMF	ENSG00000104081	BMF	BMF	gene	0	0
BMI1	BMI1	ENSG00000168283	BMI1	BMI1	gene	0	1
BMP1	BMP1	ENSG00000168487	BMP1	BMP1	gene	0	0
BMP10	BMP10	ENSG00000163217	BMP10	BMP10	gene	0	0
BMP15	BMP15	ENSG00000130385	BMP15	BMP15	gene	0	0
BMP2	BMP2	ENSG00000125845	BMP2	BMP2	gene	0	0
BMP2K	BMP2K	ENSG00000138756	BMP2K	BMP2K	gene	0	0
BMP3	BMP3	ENSG00000152785	BMP3	BMP3	gene	0	0
BMP4	BMP4	ENSG00000125378	BMP4	BMP4	gene	0	0
BMP5	BMP5	ENSG00000112175	BMP5	BMP5	gene	0	0
BMP6	BMP6	ENSG00000153162	BMP6	BMP6	gene	0	0
BMP7	BMP7	ENSG00000101144	BMP7	BMP7	gene	0	0
BMP8A	BMP8A	ENSG00000183682	BMP8A	BMP8A	gene	0	0
BMP8B	BMP8B	ENSG00000116985	BMP8B	BMP8B	gene	0	0
BMPER	BMPER	ENSG00000164619	BMPER	BMPER	gene	0	0
BMPR1A	BMPR1A	ENSG00000107779	BMPR1A	BMPR1A	gene	0	0
BMPR1B	BMPR1B	ENSG00000138696	BMPR1B	BMPR1B	gene	0	0
BMPR2	BMPR2	ENSG00000204217	BMPR2	BMPR2	gene	0	0
BMS1	BMS1	ENSG00000165733	BMS1	BMS1	gene	0	0
BMX	BMX	ENSG00000102010	BMX	BMX	gene	0	0
BNC1	BNC1	ENSG00000169594	BNC1	BNC1	gene	0	1
BNC2	BNC2	ENSG00000173068	BNC2	BNC2	gene	0	1
BNIP1	BNIP1	ENSG00000113734	BNIP1	BNIP1	gene	0	0
BNIP2	BNIP2	ENSG00000140299	BNIP2	BNIP2	gene	0	0
BNIP3	BNIP3	ENSG00000176171	BNIP3	BNIP3	gene	0	0
BNIP3L	BNIP3L	ENSG00000104765	BNIP3L	BNIP3L	gene	0	0
BNIPL	BNIPL	ENSG00000163141	BNIPL	BNIPL	gene	0	0
BOC	BOC	ENSG00000144857	BOC	BOC	gene	0	0
BOD1	BOD1	ENSG00000145919	BOD1	BOD1	gene	0	0
BOD1L	BOD1L	unmapped-none	BOD1L	BOD1L	gene	0	0
BOD1P	BOD1P	unmapped-none	BOD1P	BOD1P	gene	0	0
BOK	BOK	ENSG00000176720	BOK	BOK	gene	0	0
BOK-AS1	BOK-AS1	ENSG00000234235	BOK-AS1	BOK-AS1	gene	0	0
BOLA1	BOLA1	ENSG00000178096	BOLA1	BOLA1	gene	0	0
BOLA2	BOLA2	ENSG00000183336	BOLA2	BOLA2	gene	0	0
BOLA2B	BOLA2B	ENSG00000169627	BOLA2B	BOLA2B	gene	0	0
BOLA3	BOLA3	ENSG00000163170	BOLA3	BOLA3	gene	0	0
BOLA3-AS1	BOLA3-AS1	ENSG00000225439	BOLA3-AS1	BOLA3-AS1	gene	0	0
BOLL	BOLL	ENSG00000152430	BOLL	BOLL	gene	0	0
BOP1	BOP1	ENSG00000261236	BOP1	BOP1	gene	0	0
BORA	BORA	ENSG00000136122	BORA	BORA	gene	0	0
BPESC1	BPESC1	ENSG00000232416	BPESC1	BPESC1	gene	0	0
BPGM	BPGM	ENSG00000172331	BPGM	BPGM	gene	0	0
BPHL	BPHL	ENSG00000137274	BPHL	BPHL	gene	0	0
BPI	BPI	ENSG00000101425	BPI	BPI	gene	0	0
BPIFA1	BPIFA1	ENSG00000198183	BPIFA1	BPIFA1	gene	0	0
BPIFA2	BPIFA2	ENSG00000131050	BPIFA2	BPIFA2	gene	0	0
BPIFA3	BPIFA3	ENSG00000131059	BPIFA3	BPIFA3	gene	0	0
BPIFB1	BPIFB1	ENSG00000125999	BPIFB1	BPIFB1	gene	0	0
BPIFB2	BPIFB2	ENSG00000078898	BPIFB2	BPIFB2	gene	0	0
BPIFB3	BPIFB3	ENSG00000186190	BPIFB3	BPIFB3	gene	0	0
BPIFB4	BPIFB4	ENSG00000186191	BPIFB4	BPIFB4	gene	0	0
BPIFB6	BPIFB6	ENSG00000167104	BPIFB6	BPIFB6	gene	0	0
BPIFC	BPIFC	ENSG00000184459	BPIFC	BPIFC	gene	0	0
BPNT1	BPNT1	ENSG00000162813	BPNT1	BPNT1	gene	0	0
BPTF	BPTF	ENSG00000171634	BPTF	BPTF	gene	0	0
BPY2	BPY2	unmapped-many	BPY2	BPY2	gene	0	0
BPY2B	BPY2B	ENSG00000183795	BPY2B	BPY2B	gene	0	0
BPY2C	BPY2C	ENSG00000185894	BPY2C	BPY2C	gene	0	0
BRAF	BRAF	ENSG00000157764	BRAF	BRAF	gene	0	0
BRAP	BRAP	ENSG00000089234	BRAP	BRAP	gene	0	0
BRAT1	BRAT1	ENSG00000106009	BRAT1	BRAT1	gene	0	0
BRCA1	BRCA1	ENSG00000012048	BRCA1	BRCA1	gene	0	1
BRCA2	BRCA2	ENSG00000139618	BRCA2	BRCA2	gene	0	0
BRCC3	BRCC3	ENSG00000185515	BRCC3	BRCC3	gene	0	0
BRD1	BRD1	ENSG00000100425	BRD1	BRD1	gene	0	0
BRD2	BRD2	ENSG00000236227	BRD2	BRD2	gene	0	0
BRD3	BRD3	ENSG00000169925	BRD3	BRD3	gene	0	0
BRD4	BRD4	ENSG00000141867	BRD4	BRD4	gene	0	0
BRD7	BRD7	ENSG00000166164	BRD7	BRD7	gene	0	0
BRD8	BRD8	ENSG00000112983	BRD8	BRD8	gene	0	0
BRD9	BRD9	ENSG00000028310	BRD9	BRD9	gene	0	0
BRDT	BRDT	ENSG00000137948	BRDT	BRDT	gene	0	0
BRE	BRE	ENSG00000158019	BRE	BRE	gene	0	0
BREA2	BREA2	unmapped-none	BREA2	BREA2	gene	0	0
BRF1	BRF1	ENSG00000185024	BRF1	BRF1	gene	0	0
BRF2	BRF2	ENSG00000104221	BRF2	BRF2	gene	0	0
BRI3	BRI3	ENSG00000164713	BRI3	BRI3	gene	0	0
BRI3BP	BRI3BP	ENSG00000184992	BRI3BP	BRI3BP	gene	0	0
BRIP1	BRIP1	ENSG00000136492	BRIP1	BRIP1	gene	0	0
BRIX1	BRIX1	ENSG00000113460	BRIX1	BRIX1	gene	0	0
BRK1	BRK1	ENSG00000254999	BRK1	BRK1	gene	0	0
BRMS1	BRMS1	ENSG00000174744	BRMS1	BRMS1	gene	0	0
BRMS1L	BRMS1L	ENSG00000100916	BRMS1L	BRMS1L	gene	0	0
BROX	BROX	ENSG00000162819	BROX	BROX	gene	0	0
BRP44	BRP44	ENSG00000143158	BRP44	BRP44	gene	0	0
BRP44L	BRP44L	ENSG00000060762	BRP44L	BRP44L	gene	0	0
BRPF1	BRPF1	ENSG00000156983	BRPF1	BRPF1	gene	0	0
BRPF3	BRPF3	ENSG00000096070	BRPF3	BRPF3	gene	0	0
BRS3	BRS3	ENSG00000102239	BRS3	BRS3	gene	0	0
BRSK1	BRSK1	ENSG00000160469	BRSK1	BRSK1	gene	0	0
BRSK2	BRSK2	ENSG00000174672	BRSK2	BRSK2	gene	0	0
BRWD1	BRWD1	ENSG00000185658	BRWD1	BRWD1	gene	0	0
BRWD1-IT2	BRWD1-IT2	ENSG00000255568	BRWD1-IT2	BRWD1-IT2	gene	0	0
BRWD3	BRWD3	ENSG00000165288	BRWD3	BRWD3	gene	0	0
BSCL2	BSCL2	ENSG00000168000	BSCL2	BSCL2	gene	0	0
BSDC1	BSDC1	ENSG00000160058	BSDC1	BSDC1	gene	0	0
BSG	BSG	ENSG00000172270	BSG	BSG	gene	0	0
BSN	BSN	ENSG00000164061	BSN	BSN	gene	0	0
BSN-AS2	BSN-AS2	ENSG00000226913	BSN-AS2	BSN-AS2	gene	0	0
BSND	BSND	ENSG00000162399	BSND	BSND	gene	0	0
BSPH1	BSPH1	ENSG00000188334	BSPH1	BSPH1	gene	0	0
BSPRY	BSPRY	ENSG00000119411	BSPRY	BSPRY	gene	0	0
BST1	BST1	ENSG00000109743	BST1	BST1	gene	0	0
BST2	BST2	ENSG00000130303	BST2	BST2	gene	0	0
BSX	BSX	ENSG00000188909	BSX	BSX	gene	0	1
BTAF1	BTAF1	ENSG00000095564	BTAF1	BTAF1	gene	0	0
BTBD1	BTBD1	ENSG00000064726	BTBD1	BTBD1	gene	0	0
BTBD10	BTBD10	ENSG00000148925	BTBD10	BTBD10	gene	0	0
BTBD11	BTBD11	ENSG00000151136	BTBD11	BTBD11	gene	0	0
BTBD16	BTBD16	ENSG00000138152	BTBD16	BTBD16	gene	0	0
BTBD17	BTBD17	ENSG00000204347	BTBD17	BTBD17	gene	0	0
BTBD18	BTBD18	ENSG00000233436	BTBD18	BTBD18	gene	0	0
BTBD19	BTBD19	ENSG00000222009	BTBD19	BTBD19	gene	0	0
BTBD2	BTBD2	ENSG00000133243	BTBD2	BTBD2	gene	0	0
BTBD3	BTBD3	ENSG00000132640	BTBD3	BTBD3	gene	0	0
BTBD6	BTBD6	ENSG00000184887	BTBD6	BTBD6	gene	0	0
BTBD7	BTBD7	ENSG00000277222	BTBD7	BTBD7	gene	0	0
BTBD8	BTBD8	ENSG00000284413	BTBD8	BTBD8	gene	0	0
BTBD9	BTBD9	ENSG00000183826	BTBD9	BTBD9	gene	0	0
BTC	BTC	ENSG00000174808	BTC	BTC	gene	0	0
BTD	BTD	ENSG00000169814	BTD	BTD	gene	0	0
BTF3	BTF3	ENSG00000145741	BTF3	BTF3	gene	0	0
BTF3L4	BTF3L4	ENSG00000134717	BTF3L4	BTF3L4	gene	0	0
BTG1	BTG1	ENSG00000133639	BTG1	BTG1	gene	0	0
BTG2	BTG2	ENSG00000159388	BTG2	BTG2	gene	0	0
BTG3	BTG3	ENSG00000281484	BTG3	BTG3	gene	0	0
BTG4	BTG4	ENSG00000137707	BTG4	BTG4	gene	0	0
BTK	BTK	ENSG00000010671	BTK	BTK	gene	0	0
BTLA	BTLA	ENSG00000186265	BTLA	BTLA	gene	0	0
BTN1A1	BTN1A1	ENSG00000124557	BTN1A1	BTN1A1	gene	0	0
BTN2A1	BTN2A1	ENSG00000112763	BTN2A1	BTN2A1	gene	0	0
BTN2A2	BTN2A2	ENSG00000124508	BTN2A2	BTN2A2	gene	0	0
BTN3A1	BTN3A1	ENSG00000026950	BTN3A1	BTN3A1	gene	0	0
BTN3A2	BTN3A2	ENSG00000186470	BTN3A2	BTN3A2	gene	0	0
BTN3A3	BTN3A3	ENSG00000111801	BTN3A3	BTN3A3	gene	0	0
BTNL2	BTNL2	unmapped-many	BTNL2	BTNL2	gene	0	0
BTNL3	BTNL3	ENSG00000168903	BTNL3	BTNL3	gene	0	0
BTNL8	BTNL8	ENSG00000113303	BTNL8	BTNL8	gene	0	0
BTNL9	BTNL9	ENSG00000165810	BTNL9	BTNL9	gene	0	0
BTRC	BTRC	ENSG00000166167	BTRC	BTRC	gene	0	0
BUB1	BUB1	ENSG00000169679	BUB1	BUB1	gene	0	0
BUB1B	BUB1B	ENSG00000156970	BUB1B	BUB1B	gene	0	0
BUB3	BUB3	ENSG00000154473	BUB3	BUB3	gene	0	0
BUD13	BUD13	ENSG00000137656	BUD13	BUD13	gene	0	0
BUD31	BUD31	ENSG00000106245	BUD31	BUD31	gene	0	0
BVES	BVES	ENSG00000112276	BVES	BVES	gene	0	0
BVES-AS1	BVES-AS1	ENSG00000203808	BVES-AS1	BVES-AS1	gene	0	0
BYSL	BYSL	ENSG00000112578	BYSL	BYSL	gene	0	0
BZRAP1	BZRAP1	unmapped-none	BZRAP1	BZRAP1	gene	0	0
BZW1	BZW1	ENSG00000082153	BZW1	BZW1	gene	0	0
BZW2	BZW2	ENSG00000136261	BZW2	BZW2	gene	0	0
C10orf10	C10orf10	ENSG00000165507	C10orf10	C10orf10	gene	0	0
C10orf103	C10orf103	unmapped-none	C10orf103	C10orf103	gene	0	0
C10orf105	C10orf105	ENSG00000214688	C10orf105	C10orf105	gene	0	0
C10orf107	C10orf107	ENSG00000183346	C10orf107	C10orf107	gene	0	0
C10orf108	C10orf108	unmapped-none	C10orf108	C10orf108	gene	0	0
C10orf11	C10orf11	ENSG00000148655	C10orf11	C10orf11	gene	0	0
C10orf111	C10orf111	ENSG00000176236	C10orf111	C10orf111	gene	0	0
C10orf113	C10orf113	ENSG00000204683	C10orf113	C10orf113	gene	0	0
C10orf114	C10orf114	unmapped-none	C10orf114	C10orf114	gene	0	0
C10orf116	C10orf116	unmapped-none	C10orf116	C10orf116	gene	0	0
C10orf118	C10orf118	unmapped-none	C10orf118	C10orf118	gene	0	0
C10orf12	C10orf12	unmapped-none	C10orf12	C10orf12	gene	0	0
C10orf120	C10orf120	ENSG00000183559	C10orf120	C10orf120	gene	0	0
C10orf122	C10orf122	unmapped-none	C10orf122	C10orf122	gene	0	0
C10orf125	C10orf125	unmapped-none	C10orf125	C10orf125	gene	0	0
C10orf128	C10orf128	ENSG00000204161	C10orf128	C10orf128	gene	0	0
C10orf129	C10orf129	unmapped-none	C10orf129	C10orf129	gene	0	0
C10orf131	C10orf131	unmapped-none	C10orf131	C10orf131	gene	0	0
C10orf136	C10orf136	unmapped-none	C10orf136	C10orf136	gene	0	0
C10orf137	C10orf137	unmapped-none	C10orf137	C10orf137	gene	0	0
C10orf140	C10orf140	unmapped-none	C10orf140	C10orf140	gene	0	0
C10orf2	C10orf2	unmapped-none	C10orf2	C10orf2	gene	0	0
C10orf25	C10orf25	ENSG00000165511	C10orf25	C10orf25	gene	0	0
C10orf26	C10orf26	unmapped-none	C10orf26	C10orf26	gene	0	0
C10orf27	C10orf27	unmapped-none	C10orf27	C10orf27	gene	0	0
C10orf28	C10orf28	unmapped-none	C10orf28	C10orf28	gene	0	0
C10orf32	C10orf32	unmapped-none	C10orf32	C10orf32	gene	0	0
C10orf32-AS3MT	C10orf32-AS3MT	unmapped-none	C10orf32-AS3MT	C10orf32-AS3MT	gene	0	0
C10orf35	C10orf35	ENSG00000171224	C10orf35	C10orf35	gene	0	0
C10orf40	C10orf40	unmapped-none	C10orf40	C10orf40	gene	0	0
C10orf46	C10orf46	unmapped-none	C10orf46	C10orf46	gene	0	0
C10orf47	C10orf47	ENSG00000148426	C10orf47	C10orf47	gene	0	0
C10orf53	C10orf53	ENSG00000178645	C10orf53	C10orf53	gene	0	0
C10orf54	C10orf54	ENSG00000107738	C10orf54	C10orf54	gene	0	0
C10orf55	C10orf55	ENSG00000222047	C10orf55	C10orf55	gene	0	0
C10orf58	C10orf58	unmapped-none	C10orf58	C10orf58	gene	0	0
C10orf62	C10orf62	ENSG00000203942	C10orf62	C10orf62	gene	0	0
C10orf67	C10orf67	ENSG00000179133	C10orf67	C10orf67	gene	0	0
C10orf68	C10orf68	unmapped-none	C10orf68	C10orf68	gene	0	0
