EX102193_RNA_L8_V1N	EX140477_RNA_L2_V1N	EX150743_RNA_L8_V1N	EX157833_RNA_L8_V1N	EX161328_RNA_L6_V1N	EX169285_RNA_L3_V1N	EX170637_RNA_L2_V1N	EX171518_RNA_L4_V1N	EX172638_RNA_L2_V1N	EX173983_RNA_L2_V1N	EX175931_RNA_L1_V1N	EX176166_RNA_L1_V1N	EX176721_RNA_L7_V1N	EX176795_RNA_L1_V1N	EX177230_RNA_L5_V1N	EX177867_RNA_L8_V1N	EX178108_RNA_L8_V1N	EX178643_RNA_L6_V1N	EX178682_RNA_L4_V1N	EX178815_RNA_L5_V1N	EX178996_RNA_L7_V1N	EX180745_RNA_L2_V1N	EX180995_RNA_L3_V1N	EX181583_RNA_L6_V1N	EX182339_RNA_L4_V1N	EX182678_RNA_L2_V1N	EX185376_RNA_L3_V1N	EX185863_RNA_L6_V1N	EX187488_RNA_L6_V1N	EX142848_RNA_L4_V1N	EX149585_RNA_L7_V1N	EX170045_RNA_L1_V1N	EX171517_RNA_L2_V1N	EX171721_RNA_L3_V1N	EX172587_RNA_L8_V1N	EX172588_RNA_L2_V1N	EX177582_RNA_L6_V1N	EX180922_RNA_L8_V1N	EX183838_RNA_L3_V1N	EX184151_RNA_L1_V1N	EX185255_RNA_L3_V1N	EX186006_RNA_L8_V1N	EX186192_RNA_L7_V1N	EX186931_RNA_L7_V1N	EX187890_RNA_L6_V1N	EX189608_RNA_L7_V1N
g553	0.0951984519177214	0.211057125455483	1.45449459959367	1.29243810750266	0.753521348997977	1.22432360140954	1.28654238293206	0.716311401896262	-0.186206276975397	-0.469952188712965	-0.102546624440554	1.48349069321523	0.730845167031736	1.07285972008916	-0.641475600256153	-0.0222294551897921	-0.518936100080018	0.0533895943778171	-0.0443884921425474	1.27613814299305	-1.55051665830925	-1.22797503994237	-1.49459520515394	-0.365375438887866	0.625690087899197	-1.09279945657547	0.662895949986431	1.15418694787895	0.0401826800104209	0.400978107109784	0.473240819146076	-1.31751521151505	-1.57694149807187	-1.48615819893912	-1.08952360579218	1.09250857568472	-0.0171594028124741	-1.13088640301682	0.841397988514928	0.253755821251461	-0.655092666575693	-0.899885421548294	1.58641555837726	0.357702920363676	-2.077180650799	-1.17222619789846
g554	0.0647786417798695	-0.318151261903048	1.42077509409523	-1.09970726744236	-0.634818638772813	0.244406470633436	0.331578732789743	-0.214394204596806	-0.595302810032543	0.910255795630034	-2.92856790834069	0.496081517904822	1.77114020594311	-0.540230695120319	0.247305000073768	-0.377436424316927	0.641544858028932	0.0664343284966233	0.76035120935384	2.66463346298682	-0.726096890923274	-1.03196251551756	-1.11925264745262	-0.462011893711311	0.595598716712896	-0.481843045621566	1.24312489111999	-0.249254199402275	0.304200112030616	-0.0794773791480823	0.715319445034483	-1.25192719544525	-0.744897551047848	-1.23468556724476	0.653914136578575	-0.154082268066768	-0.321025715189466	0.336938442060715	-0.222988429273122	0.502704565590785	-0.165706462607288	-1.12306689895504	2.45439224064441	-0.723631285021249	0.868912232327282	-0.493870944663013
g555	-1.17787749757429	-0.606429530513378	1.43839619660025	-0.94235754601185	-0.663269080675911	0.111011487591251	0.492560715277027	-0.768250658503253	-0.0699770024157159	-0.251113914761783	-2.18848295839103	1.98576432175322	1.72805329949004	1.39838952709937	0.466780156231747	-0.0045240167402057	1.54648027604923	1.42638407276641	0.302119254889725	1.37914140676997	-0.804268560924481	-0.348788952683276	-0.365236776326547	0.0162157489674394	2.11999760850993	-0.670979644851111	0.251989980825469	-1.03764482412366	0.0143735312888013	0.231977194401689	0.183107862213611	-1.41770205322365	-0.702478482131529	0.613020149399866	0.100168426048579	-1.10172977203681	0.557121960231484	-1.49131036852073	0.324713593512984	0.165195201435933	0.304973448037862	-0.811987794841212	0.981106739795214	-0.480573467434675	-1.52754028112739	-0.706518975374607
g556	0.38035459186696	-0.2629303309779	1.66905980970216	0.168307785274796	0.155743607745255	-1.48470385678716	0.180282692609176	0.250171522971793	0.0597093157281431	-0.709733271858056	-1.8079662234362	1.40093675021339	0.697433101630724	-1.30307087290362	-0.0626435450244047	0.253948857162839	-0.059465497341519	1.30660028467312	1.41828231115076	1.72421680501521	0.0345910025381423	-1.04673670446654	-1.12798401334644	-1.16976045601742	1.37613584780768	-1.40904551069372	-0.273493146770709	0.813090303621258	0.422975253674734	2.31183251310393	0.580511349781129	-0.241547879912244	-1.16085086080984	-1.79297077624163	-0.955338969374838	0.660372373444972	-0.51656841586507	0.339814507482234	0.707978354153398	0.710884470603931	-0.74467227410867	-0.389249088986439	0.721236079994155	-1.24843472711078	0.179790206214751	-0.757093276131438
g557	-1.29451095116573	-1.25344613900985	1.68119129513428	-0.500102120394749	0.616647456028642	-0.0734241808514324	0.509365304758159	1.2370912103612	-1.00917539450793	-1.02972396373977	-0.205355873907515	1.01058049894415	0.123148901327656	0.570541296525935	-0.545275591140778	-1.30093888440095	1.75339144353237	0.922830284493186	0.882301609700254	0.660023655078826	0.25128250607267	-0.0339555792325223	-1.16666523101305	-0.113618872428499	0.0300926897555358	-1.40300539501841	0.12733300022368	0.594785318307277	1.4062583902528	1.06492569155944	1.16660034450679	-0.215870689608076	0.178474466498121	-1.85601524370423	-0.832942962054516	-0.659842267506895	1.52601248994686	-1.7384088012253	0.727247231706315	0.132303353807775	-1.05935792372617	0.423050196290786	1.37220720301513	-0.929691212353247	-1.74357604452353	-0.00278251631471386
g558	-0.602328126548793	-0.315097332883083	0.595150729180504	1.34663444078205	-0.55281451165351	0.675029160732099	0.352148163760041	1.2004476252586	-0.570089469965074	-1.13420740945157	-0.947926621467353	0.464317108015271	0.526480864577799	-1.50306275283405	-1.0414928906429	-0.0456565085283327	0.0117341742079301	0.443930398620838	0.715733697803796	-0.480321726111893	0.406394425805749	-0.0303354250174225	-2.06332838900828	-0.153918229645107	-0.0880466867491705	-1.19809012195559	1.22536020156171	-0.170828698612574	1.57277589397769	0.909334930187288	1.20563763403056	-0.51122952856963	1.21107864706493	-1.0509983180789	-0.13210658067831	0.0511063121561925	1.08283159628075	-1.93335996291929	1.05278737577505	2.17116589756257	-2.33284057119654	0.0591553269563084	0.77905832477385	-0.697153340781539	0.154280401994693	-0.657340127767369
g559	-0.869647211194197	-0.588500432622034	1.50686253065015	0.513264255952245	-1.41795531664474	-0.250756191826258	-0.290018401374437	-0.623528108504845	0.0808016144718647	-0.233123384197166	-0.513998834051589	0.983081851591429	0.986904322682191	0.574579005358754	1.43746684909184	-1.26321521099887	-0.0150820538561267	1.24755983350624	0.795012515576781	0.778990366323462	0.710998885947305	1.37852002555815	-1.9169901538842	-0.213722784370257	1.36445656722329	-0.314446215772767	-0.0923166218347295	0.896564917698545	0.40381021246703	0.872498059624798	1.71876899745326	-1.3538055844525	-0.73796321964243	0.932335022490894	-0.617976177959783	-1.07698919633474	-0.55876434030043	-1.48476500363296	-0.288881395246811	0.802271534844557	-0.696637589139717	-0.237536743237897	1.3775719662195	-2.03377444237592	-0.135839336939899	-1.536085384337
g560	-0.860676600554349	-0.302403920864312	0.449862201820461	1.99537183373411	0.458666511106029	-0.0577740309005508	0.682856063539944	1.38050445000634	0.598036114787208	0.804589418446523	-0.516821136848508	1.71030561563297	2.04212999251342	-0.205397050869147	0.413591135447618	0.257173663379097	0.532241064426569	0.736724757576611	0.38435521124287	1.08239495423191	0.21394809182046	-0.913509560155974	-0.766954644873379	-0.664208499154177	-0.518513449221548	-0.779120527798038	-1.24598532180292	0.216983147641704	0.340416636615748	0.483454268026417	2.42862812054832	-1.20385541679538	-0.418241160738538	-0.880356370307868	-0.0147295183775063	-0.341969722215039	-1.48418706217374	-0.628985017944821	-1.07146773544069	0.017952968145804	-2.34037784819134	-0.941771627325769	1.11359842151713	-0.771704320115627	-1.21184313334309	-0.202930966194932
g561	-1.39819340289907	1.23844995644511	0.916623875176416	1.14050932429953	-0.509082953969486	-1.4002456486698	0.887074662726413	0.0299095054193109	0.0769932630192074	-1.72173722687833	-1.40040097294857	-0.133880641080326	1.49135990359774	-0.281205629453851	1.43370068463114	-0.566643292816831	-0.302638373246109	0.872804377770541	1.34337741077774	0.733706321448601	1.28980047322795	-0.355837608904731	-0.773762567662534	-0.960801237271571	0.659968854228416	-1.31135620764678	-0.526513763764122	-0.1944571616734	0.470541057782506	0.215319881573585	1.15899551901048	-0.567934431820799	0.405804470337058	-1.59761992567751	-0.285293721502446	0.423308095181601	-0.0836311648764441	-1.93076537399792	0.922731829701759	1.33967554528651	-0.077200054103646	-0.616477871625466	1.96627100595562	-1.41474084394494	-0.191540153528331	-0.414965787634226
g562	-1.26888127522745	-0.295477327834021	-0.148274970723898	0.809967138074751	-0.0846093285148219	-0.318793135023531	1.46903654603492	0.865462519964833	-0.169296423095364	-0.0172565719666898	0.0064042873593044	-0.450082865934928	1.2536990616422	-2.58103488852134	-0.332521790675038	-0.54370423148003	0.277572415038907	0.152308073797702	1.55352696185303	1.0496909156386	0.889942977102986	1.55736648474328	-1.03065000075936	0.43747016532609	0.259824209120863	0.842626050619426	0.513596775731361	0.822247740249202	-0.98722658075299	1.40979072331538	1.58685641084562	-0.87041513104588	-0.49130458097796	-2.2403799478768	-1.58491218221146	0.309498962474198	-0.465919604511035	0.842041352204308	1.02149354416555	0.679060969936628	-0.327161969202481	-0.459666282889435	-0.647252902351276	-0.945172508546116	-1.12055659014751	-1.22893319496972
g563	0.0412354600212305	-0.135912259327535	0.491910524595642	0.570671899409848	1.94473845128895	-1.37779069472059	-0.234480959513322	-0.621018133768204	-1.0591723090143	-1.53224917987971	-0.563142351002076	1.21739663057751	1.10238509766415	0.47404268759392	0.422859896210664	0.474660217334304	0.836192244394837	0.730424532659584	1.63974564073451	1.75624752634302	-0.685731247058573	-0.46971885213671	-0.97276072382594	1.08331808710514	0.517244419530376	-0.40324241815811	-0.390578059946439	-0.195312033970985	0.207971480392876	1.25839040534288	-0.150333132754648	-0.965861777426511	0.272978244895144	0.184722387149962	-1.67882964592098	-0.652843049868667	0.22147688360754	-2.07984390331625	0.137147036645974	1.18763812816788	-0.762226602405255	-0.194800150218737	1.31846656297736	-1.42215215211368	-2.08143715215452	0.537572343858455
g564	0.839669463392402	-1.36550745858052	1.52351317206133	-0.39558387427942	-0.476466271500013	-0.910797441390157	0.395949053365929	0.786369886935888	-0.124978418439595	-0.344867667103391	-1.782829416474	1.19729003907475	2.31795543870288	0.0944647977266429	-0.628746747808014	-0.555897206045405	1.01493564309693	1.13875786630659	0.525843556038843	1.3017846808422	-0.0188654305101537	-1.63297907129687	-1.04148396149733	0.0301998436516316	0.984239018872292	-1.53142243837608	0.618820105064175	-1.39576722658052	1.57885288619216	1.8052524460313	0.647065281315147	-0.808163100548017	-0.774121741692556	-0.137716773819211	0.143719024084182	-0.993169948304	-0.0885322078093867	0.210540945675606	0.696989392193471	-0.0302627119189678	-1.16925964500293	-0.355188880091647	-0.979665200400364	-0.526676775374392	-0.853662482580853	1.07039955679944
g565	0.808737487135324	-0.483785049630743	0.287311965927355	2.12189489666113	0.403327810776235	-1.42314746929952	-0.179026273800155	-0.331878152618849	-0.206962487689981	-0.174631271532948	0.00106614272174864	0.37108290348124	0.57638481491933	-0.481134305793202	1.60616019978411	-0.122540996192464	-0.134249755930033	-0.540439992028598	-1.01027948604026	2.13755036179745	-0.633150405195248	-1.09941552024156	-2.28692190042554	-0.647769712500247	2.16228883807992	0.179233945092948	0.904328855830111	0.161503344105762	0.689986133654759	0.205858960016521	1.6479929209865	-1.29702864378477	0.109463573019577	0.29692928070656	-0.498204565311009	-1.14923591598684	-0.623597273287215	-1.93988676004619	0.593871210425142	0.275779858038962	-0.0153252752523625	-1.09044199229719	1.20926199871084	0.566506013485335	-0.987879786584222	0.0404114761122996
g566	-1.4947583847913	-0.289307092858171	1.49341347106563	0.0955178429037124	-0.130475502298473	-0.591575323359037	1.64102844501033	-0.261369980181632	-0.647811983043074	-0.0452879836994895	-1.29011334711053	0.461456723374078	0.493689929502427	-0.39298449760023	0.0460855247568817	1.10239135203518	-1.25373953401166	0.173128585177255	1.39044150194493	2.02618504881279	0.726171866254924	-0.52310158900457	0.154939782498276	-0.38016699403013	0.969375540349845	-2.08668227496265	1.36386432066267	0.617874085923603	1.49087653158501	0.808827245740848	0.711060052197282	-0.861408423809915	-0.697584215533128	-0.301377069123717	-1.40749131342048	-0.847541528879231	-0.61664883168356	0.244461786030142	1.15764012118333	0.134525133983166	-1.01288740303086	-0.383087224095774	1.35790464348986	-1.93178286143493	-1.14036971422946	-0.0733064622901768
g567	-0.00573769158740716	-0.235817105734011	0.843758699068051	-0.046891090355794	-0.788050361010111	0.546012294312516	1.00209399196704	-0.301505087344726	-0.274481333253274	-0.428931449879182	-0.400334663303148	0.984902474357331	1.47267520826603	-0.484675294507695	0.799997763298617	-0.0197145865986966	0.767345507073009	-0.279843489715101	0.726539870968226	1.07217493954187	-0.112508224592998	-0.877240498359543	-2.48293938227312	-1.39406266928231	0.527529238539669	-1.87575177244097	0.361159587640874	0.355377985665123	1.30701591119714	1.36796249443617	1.32014243388765	0.803827380005802	-1.26671443639095	-1.25440099254573	-0.977429117681338	-0.400368651665749	-1.45969472628828	-0.167906436096393	0.936982290830917	0.262258557671558	0.0249777613683117	0.352622580897877	2.32533479706192	-1.57270065268543	-1.05840004721409	0.00540799275032446
g568	1.15045763848157	-0.132179233004438	-0.427519543708694	0.278810625579572	-0.65048827819031	1.12731122645751	1.76192301709065	0.803454179759257	-0.992411926894058	-0.903220207068113	-0.657120248393626	1.2229779587687	1.73894892437091	-0.815512869723844	1.05456880865243	-1.15326453294005	1.32899909868669	-0.809917199064846	0.744374854577055	-0.104366569982403	0.598815997733349	-0.496274447455153	-1.42292759380446	0.985294725787433	-1.11295566804444	-1.11690176454193	0.448815604668176	-1.36325767716435	0.654123628649393	1.10794412799118	1.09293029357562	-0.140718757597406	-0.644269304952949	-0.201671921857165	-0.823474927998779	-1.38120745547163	-1.03736824558667	0.183593523012547	0.785054823597085	1.73320893229738	-1.38269834810338	-0.888685870319169	0.602002747027913	-1.64728053049355	0.711552719715721	0.190529665881279
g569	0.849407581636753	-0.525361180230602	0.146477464627394	0.354539735347894	-0.111751691924765	1.1841633567801	-0.743890058986384	-0.0711918730876966	-0.0075155324276449	-0.297173874767833	-0.376622811440768	1.22443691707052	0.367259555512483	0.299479990912038	0.577735835284991	0.0652272178772612	-0.60785989535649	-0.146748621511198	0.905411117679114	1.48685344347756	-1.56098672230451	0.199655400848825	-1.06486525212362	-1.23354839548556	0.452927859227412	-0.24861826226947	-1.10570644314173	0.682893534977111	0.421745036517195	2.00819175216254	0.915996123410943	-1.64401125533187	-0.0741673393563124	-0.260203842463869	0.291458872519531	-1.36357246694975	-0.72729391966115	-2.70293587007538	1.73231667241444	0.670510892897924	-1.26634167954769	-0.665318617685926	2.3135927369626	0.0365418229170073	-0.716065563543289	0.33492824861189
g570	-0.50227602231128	0.225852608581821	1.7064942292198	-0.439854735944953	-0.530819878405028	-0.142476426153145	0.865798526337567	1.02643586122573	-0.354520719362344	-0.915331387095013	-0.0177936066300566	0.0077290008735337	1.55383552893876	-1.183901276676	1.10618188808646	-1.40429780137217	-0.72182351549685	0.754908649257719	-0.015563513822762	2.14582574035078	1.17719210003408	-0.720956360301158	-1.7547851071399	-0.746219428312453	0.294271068747107	-0.502651617708351	0.0980617297546346	-0.592207502781179	1.09859198689374	0.371065706128995	1.43590011189831	-0.751207672004169	0.132757131154791	-0.785765525742974	-0.404878220528676	-0.870272935407411	-0.750070600894251	-0.517666098459514	1.15950116068197	1.97881503200663	-0.290280618039082	-0.881765220909798	1.64355682223482	-0.0876518004363622	-1.75407046060695	-1.14366682986541
g571	-1.12895487670273	-0.429770515200233	0.841337101810577	0.898848731987359	-0.386227716549424	0.0752997334283692	-0.102249036981977	-0.36419367180973	0.094142222738141	0.962913402996332	-0.990742076024603	-0.931419487344731	1.9860435403578	-0.249811059169052	0.84802271973381	0.397222577673403	-1.0452552549401	1.47406119938178	-0.163622132434046	1.60527310805482	0.472560531004439	-0.960148749807348	-1.88873399515012	-1.09579449008502	1.30114105410126	-1.95500122091523	0.540752893363876	0.227865777143993	0.888074486494371	0.762870711482312	0.927959648566881	-1.04825577752429	0.870727686888872	-1.66153137817305	-0.0348235317606432	-1.08470607501979	0.772895148450497	-1.05836922933077	0.971826091843599	-0.0409555672827282	-0.639298164763571	0.80948179739803	1.57891075561341	-1.37982265306479	-0.477918985127708	-0.190625275352254
g572	0.403185021762168	-0.621251257740725	1.7943166415246	0.0618486191823162	1.61337210520015	-0.1983223611593	0.861616704644738	0.96320042098183	-0.0863490740856118	1.05216902868141	-1.32776334924556	0.0518309411211451	0.269305065696035	-1.6909980191205	0.187263931173488	-0.604394107683389	1.76657441973093	0.192092289888783	1.65335438321336	1.87940284696655	0.668222090048108	-0.0455660472813257	-2.48070778823773	-1.35351156823629	0.341853103601688	-1.20512365580072	0.896497031468394	-0.219016676118872	0.63275530895748	0.445329967910438	-1.04456073189409	-0.421104225526704	-0.824410831294357	-0.48363549804764	0.139141862232463	-0.249206634006135	0.237002040094237	-1.17369852160682	0.940737876233353	0.427652590150774	-0.389305830511576	-0.0108551070791078	0.424972177613483	-1.46629846634511	-1.53437922941415	-0.473237487642204
g573	-0.2064010422579	-0.738529922184531	1.05506603461394	0.313407733597451	-1.05339397972543	0.11571591829848	0.421317422993855	-0.308979726569606	-0.089314778226039	-0.0704918645374502	-2.28115615793392	1.57892417375453	1.47975659113398	0.37114052742396	0.130174792390987	-0.956711604013281	-0.866659207981488	0.998418175233532	1.40099064189613	1.48931930977085	0.337187166030221	-0.968191047202198	-0.740205734137658	1.25393964093251	0.0195750415020663	-0.536321315194622	0.288076683210311	-0.357008537065566	0.838099344857923	0.953105768405796	1.32522782982345	-0.340516073835192	-1.12525445828091	-1.2872281350304	-1.55957208884668	-1.04219951189363	-0.726142602174251	-0.893682782876915	1.60573156849493	1.54146704638621	-1.06074250822116	-1.16828805841697	1.13654139573676	-0.987696772946309	0.458637767919602	0.252867335144627
g574	0.275084373667076	1.0501162599615	-0.937200573087538	-1.55689633932218	0.549975034317534	-0.863826275134076	0.1699617681627	0.561698057929125	-0.651022035689744	-0.202749066123997	-1.57675264482111	0.63714038498801	2.37913154907107	0.652373426348932	0.562535919604934	-0.16298661013702	-1.16958515942057	0.23764913946153	1.15927523939941	2.02453207449261	0.422273723551124	-1.38180373480979	0.248088323047137	-0.882092554951532	0.603323736953677	-1.42915154841345	1.76681771656376	-0.506724446121506	0.499395195473398	1.26418597066868	1.36833952619118	0.37188193529507	-0.849788574205899	-0.659855721061275	-1.15799297997977	-0.461224955407876	0.858395605136776	-0.768350919859651	0.341050648681656	-0.916872038141851	-1.96750125596098	-0.170812381580557	0.628134896602793	-0.63805140407053	0.428378793065086	-0.148498080333862
g575	1.25906850157784	-1.46528825269662	2.12589711809697	0.0375174551046433	-0.437155121067003	-0.12252006116719	0.560861267764364	0.778867214525177	-1.55695280722537	0.614204238938048	0.582260885480638	0.847996476348769	0.921402723957873	-0.447691156010737	-0.0661631991901208	0.32818587052726	0.952034117107954	0.220515241267965	2.29102000249157	1.19553121894206	-0.0615831291301008	-1.43840326525728	-0.595821711398925	-0.91454568085497	0.617654216073639	-1.91025899506732	-0.474667751501548	0.317257686032766	-0.327548406675694	0.831975719214731	1.21229393137791	-0.0401529376675261	-2.03201309989981	-0.51594432256973	-0.519894483122362	0.634289081306924	-1.20807226243206	-0.519772704835719	1.24205219117673	-0.313280863201912	-0.586564474551342	-0.905101426321945	1.03579196092016	-0.705207278064877	-1.37770826330924	-0.064365465014594
g576	-0.577202679595037	-1.52509230599025	-0.373755891285825	0.502729733121298	0.658583337612922	0.606173568483799	1.39877734209951	0.0454467989283977	-1.06825549449572	-0.760238926505456	-1.273052667179	1.40884018188753	1.23107934612443	-0.230572485334073	0.2357981580905	-0.183608046880702	-0.328968171531006	-0.359360660450239	1.39438869280769	0.816653879984523	1.13312842414266	0.103072469840179	-0.321336339279038	-1.07813975643016	0.58224778900656	-1.89189007650088	-0.131918887467599	0.22680775098497	0.199796245617382	0.660357482930405	1.17426670990634	-0.225515143085697	-1.2098648092549	-0.572283313731641	-1.00923206124772	0.53632163935185	-1.53777610494568	-0.925572154841818	1.68466708744229	1.11939978844907	-0.518342284257907	-1.10739693193028	2.67692030287115	-0.962475953774749	-0.775871908059177	0.552266324371096
g577	-1.15664096669608	-0.400010500592897	-0.0834218835194921	0.626439717953369	0.552140391735688	-0.219219153797417	-0.23993841076502	-0.266548760977868	0.460941452388524	0.324116616169287	-1.66553242837585	0.154682735752211	2.4169116791529	-1.00950151903817	1.32823001383461	-0.699695415253135	1.32007652455636	-0.974830516524298	0.433783975914471	1.87760558648273	-1.24183721879948	-0.468842696771089	-1.03090433692258	-0.996472079176557	0.138539504209226	-0.954899442900401	-0.547947635996991	0.875746527004822	0.370067538779098	0.959399569421712	2.33375708380864	-1.04890239875191	0.964933427769111	-0.497035195396192	-1.03658832040717	0.655783121604884	0.489715961649906	-0.125732361720685	0.210282054654684	1.54464844919921	-1.06164129276061	-1.7104077410673	0.203585777696302	0.00547837424922722	-1.02735080203983	0.217034994264053
g578	-0.0640998847315374	0.0397260242555434	1.34844492869982	-0.301226198687836	-1.59201450624051	0.167840716114635	1.31476441145975	1.3676304099078	-2.39166360094051	-0.326680326483151	-1.05235663005438	1.02620686966351	0.783604992317578	0.475633930965346	1.21770862052278	-0.762537899558275	-0.14643035665361	1.55492183653146	1.0221945925044	0.778168045566102	0.129708528659413	-0.827399284715398	-0.824875011014877	-0.260881075129659	1.25294951789353	-1.49998521091535	0.257868504255813	-0.423760221571463	1.03020652147866	0.906240323297432	1.95109993655466	0.905735786685086	-1.54618542581964	-1.40005374316808	-1.1976320006725	-0.716852281941255	-0.200262016062224	0.126416643185127	1.13785873881056	-0.471428326216366	-0.277790244375045	-0.382714585198242	-0.750575655165561	-1.06223511009094	0.0415578897427726	-0.356848173665383
g579	0.152557447365401	-1.27755204072846	1.62061919696255	1.23974512416185	-0.901780344254698	-0.438588673815943	1.1611268651554	-0.0209268136691262	0.253127602283224	0.770669152379299	-0.972879294123655	-0.66727986290408	1.17037509239178	-1.1023377474485	1.39345614761985	-1.10301701479524	0.354849639509276	1.22631512476975	1.67713073598063	1.56323095874503	-0.574283020706303	-0.666137484121881	-0.378886206339864	-0.562360341459217	0.46674893821476	-2.00208880969032	1.89367151975695	-0.642433323950447	-0.0882113856567586	-0.180368255396314	-0.0449071786536689	-0.949171888388799	0.278214820410513	-1.59134308156471	-0.0752626215557365	0.535281686284838	-0.0798964097487348	-0.972952185123166	1.82999704020598	-0.903027249123363	-1.19146643315743	-0.0173801035557826	1.10283796024415	-0.672699917300584	0.168228851375822	-0.780946216584308
g580	-0.280984070261963	-0.142059812529568	0.359005590555561	0.870025057658416	0.206492763557613	-1.85708639203471	1.05304881202541	-0.335983653491475	-1.38775270334432	0.760941634157451	-1.3839978191318	-0.910430850129682	1.71247974567133	-1.32049633056046	-0.322506673736689	-0.0966255384413242	0.176993386193988	0.711185716148034	1.31683828728211	1.45905731772105	1.37254870289943	-0.171106034937996	0.242960702709896	-0.260167910960599	1.3074947170182	-1.9985910822811	0.370946599770517	-0.850072431653391	0.539969767710085	1.16331575964622	0.705877433252304	-0.453913980553338	0.442382521213733	-0.351296911469445	1.30105040880602	0.462041455655253	-0.467571449133884	-2.58858416242217	-0.00865267470325252	1.25573684375094	-0.270297276467938	-0.847526238582339	0.523900176432355	-0.288527492708374	-1.38903791962832	-0.331023990671777
g581	-0.649331368302882	-0.952620122426067	0.337114963096486	0.33713297986901	-0.659029555181953	0.0950616212878497	0.595696831459668	-0.679233032099836	1.14768545757819	-0.321027561173768	-1.09995619289212	-0.345032966868645	1.21861149204869	-0.570987508114483	-0.89063022863885	1.43734427593012	0.828524061284098	0.0689796690122374	0.543862652708055	1.39908946810612	0.754490897800494	-0.542087367337119	-1.45134499806648	-1.0713880570685	-1.20666391713724	0.524628755201981	1.18404522399373	1.131664605676	0.010281297284866	-0.0798337917250709	1.9034468734628	1.21162777412768	-0.854959529613378	-1.69020330869907	0.534459152359255	-1.07320006647075	0.822957690291993	-1.76596958101688	2.29130373578049	0.264478351276529	-1.07511729041144	0.171708598125896	0.742160451704483	-1.00580457626284	-0.603141066144656	-0.968794793814688
g582	-0.931469932314902	-0.239390861970063	0.777157149876199	0.025843488085349	-0.503107392180845	0.651483964012424	0.267633223490563	1.11782839974076	1.52796438735458	0.589982809220579	-0.666326670557571	0.231260579902212	1.41148296282997	-0.702634903411998	-0.240738269197297	0.387023668686639	0.776507799216412	0.0423838680548601	1.79625334075374	1.23219386618197	-0.0157822232501966	-0.28075137319927	-1.42138836360092	-1.1474645697087	1.60013605061798	-0.883189946548994	0.373972896032705	0.400775219447914	0.343095369453928	1.75864729993795	1.47783287456088	-1.08385068335063	-1.44174475801061	-1.59599099824718	-0.607782365228476	0.26743211125523	0.309937935825862	-1.5046937532505	-1.03694632002211	0.0415966622401275	-0.42497522920087	-1.35299684651293	0.436927425870243	-1.66773731499363	-1.29916806580742	1.20277748791603
g583	-0.142255073608396	-1.37588740916211	1.68125764956516	1.39494443938767	-1.35640805957897	0.208372766683636	1.34711752170735	-1.35199697644525	-0.0983241273988476	-0.516381589491797	-1.56726845428213	0.162007870078025	0.0370698149943264	0.607445243286647	0.805864720498662	0.705044941380862	-0.38258640574294	0.0393748626554644	-0.954626132489191	0.880850801667648	0.741458501289532	-0.459795742973194	-1.54485054985533	-0.60191010107758	0.938268564060662	-0.388493775287898	0.501328526534733	0.988532851030461	0.503140807234827	1.38920133780372	2.7441716146122	1.32403989886864	-0.728987791530514	-1.12860852808543	-1.0451313225726	-0.682410442294639	-0.038845656383398	-1.07429008276487	-0.126159577239468	-0.42434726750338	-1.35996133693014	-0.504205663448333	1.34937504535696	-0.857840910903081	0.177105549182899	0.185599649169398
g584	0.30295307381344	-0.626164146416101	0.166713766109232	0.410154208543441	0.0127097135133435	-0.112897475978303	0.824175930457046	-0.0690918900006725	-0.92920629648905	0.659291010922591	-1.75070456371509	0.34358473972606	0.882575851500855	-1.11320621736281	-1.45705605179628	0.436349814559368	0.327751580718278	0.798314105767893	0.448251069779079	2.02867094588056	-0.263681790821913	-1.66684075226839	0.883878869913851	0.410469834977437	1.59108381916943	-1.1024801374334	0.83650630700155	0.815569680743323	0.924779748835086	0.149487808918015	0.321388718938415	0.0091411094553778	-1.14442397423465	-0.39362219003335	-1.24713710028025	0.484035528275998	-1.30908172262139	-0.252656189727293	1.94438347380267	0.893997041543449	-1.40317685740476	-1.68709742742403	1.13423221408332	-0.757465053936195	-1.65924899539859	0.90478886639341
g585	-1.9587172952975	1.04977997332386	0.316548424032701	1.19937410179441	0.783318266532283	-1.17512044656748	0.964216336215018	-1.09415584443754	-0.00312303763290601	0.393776146426374	0.0161659289768777	1.15517178564014	1.48483205710129	-1.09235263575499	0.835707675761283	-0.632934709690019	-0.38383033465608	0.329681435412	0.626585550918263	0.849339969045908	-0.108467416878342	0.0506696754031747	-2.72415459429567	-0.10143002211069	0.00687963802296366	0.336616112061581	0.291513849241469	-2.15522982238074	-0.654090894787176	1.10454901253562	-0.60600876276306	1.33977072384171	0.107510047417323	0.705068832610354	-1.09858697718106	-1.31848510036091	-0.0256718446374263	-1.10929023409784	0.954468631706093	0.929338378241105	1.05700767983835	-1.40595942045842	0.448694536258714	0.570337239813393	0.51510042803915	-0.774413042223558
